resolution_stategy,dep_key,tree_accurarcy,overlap_tree,contains_bundled,nmb_npm_deps,contains_optionals_and_peers
dep_reach,jdpv-product-card@0.0.1,0.6666666666666666,0.4666666666666667,False,9,True
dep_reuse,jdpv-product-card@0.0.1,1.0,1.0,False,9,True
dep_reach_plus_bundled_plus_peer,jdpv-product-card@0.0.1,0.6666666666666666,0.4666666666666667,False,9,True
dep_reuse_plus_bundled_plus_peer,jdpv-product-card@0.0.1,1.0,1.0,False,9,True
dep_reach,vue-ts-loader@0.0.3,1.0,1.0,False,13,False
dep_reuse,vue-ts-loader@0.0.3,1.0,1.0,False,13,False
dep_reach_plus_bundled_plus_peer,vue-ts-loader@0.0.3,1.0,1.0,False,13,False
dep_reuse_plus_bundled_plus_peer,vue-ts-loader@0.0.3,1.0,1.0,False,13,False
dep_reach,rs-components@1.20.2,0.9896301831171889,0.9891067604991166,False,912,True
dep_reuse,rs-components@1.20.2,0.9995464374677779,0.9997044660755988,False,912,True
dep_reach_plus_bundled_plus_peer,rs-components@1.20.2,0.9896301831171889,0.9891067604991166,False,912,True
dep_reuse_plus_bundled_plus_peer,rs-components@1.20.2,0.9995464374677779,0.9997044660755988,False,912,True
dep_reach,shidscript@,1.0,0.5,False,1,False
dep_reuse,shidscript@,1.0,0.5,False,1,False
dep_reach_plus_bundled_plus_peer,shidscript@,1.0,0.5,False,1,False
dep_reuse_plus_bundled_plus_peer,shidscript@,1.0,0.5,False,1,False
dep_reach,shadowizard_stevenbenjamin@1.0.0,1.0,1.0,False,1,False
dep_reuse,shadowizard_stevenbenjamin@1.0.0,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,shadowizard_stevenbenjamin@1.0.0,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,shadowizard_stevenbenjamin@1.0.0,1.0,1.0,False,1,False
dep_reach,aria-modal-dialog@3.3.3,1.0,1.0,False,2,False
dep_reuse,aria-modal-dialog@3.3.3,1.0,1.0,False,2,False
dep_reach_plus_bundled_plus_peer,aria-modal-dialog@3.3.3,1.0,1.0,False,2,False
dep_reuse_plus_bundled_plus_peer,aria-modal-dialog@3.3.3,1.0,1.0,False,2,False
dep_reach,@alifd/theme-7150@0.1.0,0.8823529411764706,0.6766917293233082,False,23,True
dep_reuse,@alifd/theme-7150@0.1.0,1.0,1.0,False,23,True
dep_reach_plus_bundled_plus_peer,@alifd/theme-7150@0.1.0,0.8823529411764706,0.6766917293233082,False,23,True
dep_reuse_plus_bundled_plus_peer,@alifd/theme-7150@0.1.0,1.0,1.0,False,23,True
dep_reach,wenv@2.0.2,0.9824272377814388,0.9644204851752022,False,420,True
dep_reuse,wenv@2.0.2,0.9895776193088316,0.9793702497285559,False,420,True
dep_reach_plus_bundled_plus_peer,wenv@2.0.2,0.9824272377814388,0.9644204851752022,False,420,True
dep_reuse_plus_bundled_plus_peer,wenv@2.0.2,0.9895776193088316,0.9793702497285559,False,420,True
dep_reach,rip-todos@0.0.1,1.0,1.0,False,84,False
dep_reuse,rip-todos@0.0.1,1.0,1.0,False,84,False
dep_reach_plus_bundled_plus_peer,rip-todos@0.0.1,1.0,1.0,False,84,False
dep_reuse_plus_bundled_plus_peer,rip-todos@0.0.1,1.0,1.0,False,84,False
dep_reach,demobook@0.0.0,1.0,1.0,False,1,False
dep_reuse,demobook@0.0.0,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,demobook@0.0.0,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,demobook@0.0.0,1.0,1.0,False,1,False
dep_reach,response-lib@1.0.2,1.0,1.0,False,1,False
dep_reuse,response-lib@1.0.2,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,response-lib@1.0.2,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,response-lib@1.0.2,1.0,1.0,False,1,False
dep_reach,entree-ui-core@0.0.8,1.0,1.0,False,11,False
dep_reuse,entree-ui-core@0.0.8,1.0,1.0,False,11,False
dep_reach_plus_bundled_plus_peer,entree-ui-core@0.0.8,1.0,1.0,False,11,False
dep_reuse_plus_bundled_plus_peer,entree-ui-core@0.0.8,1.0,1.0,False,11,False
dep_reach,resignapp@1.4.1,1.0,1.0,False,7,False
dep_reuse,resignapp@1.4.1,1.0,1.0,False,7,False
dep_reach_plus_bundled_plus_peer,resignapp@1.4.1,1.0,1.0,False,7,False
dep_reuse_plus_bundled_plus_peer,resignapp@1.4.1,1.0,1.0,False,7,False
dep_reach,@intlgadmin/skywalking-nodejs-prisma-plugin@1.0.0,0.96875,0.9538461538461539,False,113,False
dep_reuse,@intlgadmin/skywalking-nodejs-prisma-plugin@1.0.0,0.984375,0.984375,False,113,False
dep_reach_plus_bundled_plus_peer,@intlgadmin/skywalking-nodejs-prisma-plugin@1.0.0,0.96875,0.9538461538461539,False,113,False
dep_reuse_plus_bundled_plus_peer,@intlgadmin/skywalking-nodejs-prisma-plugin@1.0.0,0.984375,0.984375,False,113,False
dep_reach,@activeledger/activecrypto@2.7.0,1.0,1.0,False,7,False
dep_reuse,@activeledger/activecrypto@2.7.0,1.0,1.0,False,7,False
dep_reach_plus_bundled_plus_peer,@activeledger/activecrypto@2.7.0,1.0,1.0,False,7,False
dep_reuse_plus_bundled_plus_peer,@activeledger/activecrypto@2.7.0,1.0,1.0,False,7,False
dep_reach,grunt-similar@0.1.1,1.0,1.0,False,2,False
dep_reuse,grunt-similar@0.1.1,1.0,1.0,False,2,False
dep_reach_plus_bundled_plus_peer,grunt-similar@0.1.1,1.0,1.0,False,2,False
dep_reuse_plus_bundled_plus_peer,grunt-similar@0.1.1,1.0,1.0,False,2,False
dep_reach,checkmm@1.0.2,1.0,1.0,False,1,False
